"Customweb_OPPCw::* Required Fields","* campo obbligatorio"
"Customweb_OPPCw::Here you can choose if the basket (invoice items) should be sent to Open Payment Platform. If quantities in your shop often exceed 999 you may wish to deactivate this option, as this is the maximum number supported by Open Payment Platform. This option may not be deactivated if you are using the Payment Page.","Here you can choose if the basket (invoice items) should be sent to Open Payment Platform. If quantities in your shop often exceed 999 you may wish to deactivate this option, as this is the maximum number supported by Open Payment Platform. This option may not be deactivated if you are using the Payment Page."
"Customweb_OPPCw::Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id})."
"Customweb_OPPCw::Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Open Payment Platform . The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Qui è possibile inserire un prefisso d'ordine. Il prefisso consente di cambiare il numero d'ordine che viene trasmesso a Open Payment Platform .  Il profilo deve contenere il tag {id}. Il prefisso sarà poi sostituito dal numero d'ordine (es. name-{id}). Non utilizzare '_'."
"Customweb_OPPCw::Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to payone. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to payone. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id})."
"Customweb_OPPCw::Here you can set if you are a trusted shop with payolution. Activate this feature according to your contract with payolution.","Here you can set if you are a trusted shop with payolution. Activate this feature according to your contract with payolution."
"Customweb_OPPCw::Here you can set the maximum cart amount for which addresses should be checked.","Here you can set the maximum cart amount for which addresses should be checked."
"Customweb_OPPCw::Here you can set the maximum cart amount for which scoring should be checked.","Here you can set the maximum cart amount for which scoring should be checked."
"Customweb_OPPCw::Here you can set the maximum value for which addresses should be checked","Here you can set the maximum value for which addresses should be checked"
"Customweb_OPPCw::Here you can set the maximum value for which scoring should be checked","Here you can set the maximum value for which scoring should be checked"
"Customweb_OPPCw::Here you can set the minimum cart amount for which addresses should be checked.","Here you can set the minimum cart amount for which addresses should be checked."
"Customweb_OPPCw::Here you can set the minimum cart amount for which scoring should be checked.","Here you can set the minimum cart amount for which scoring should be checked."
"Customweb_OPPCw::Here you can set the minimum value for which addresses should be checked","Here you can set the minimum value for which addresses should be checked"
"Customweb_OPPCw::Here you can set the minimum value for which scoring should be checked","Here you can set the minimum value for which scoring should be checked"
"Customweb_OPPCw::Here you can set the payment information displayed to the customer when paying the merchant directly. You may use {id} as a placeholder for the transaction id. You may use simple html such as &lt;b&gt; to format the information.","Here you can set the payment information displayed to the customer when paying the merchant directly. You may use {id} as a placeholder for the transaction id. You may use simple html such as &lt;b&gt; to format the information."
"Customweb_OPPCw::Here you can set the time that a validation is valid, in hours.","Here you can set the time that a validation is valid, in hours."
"Customweb_OPPCw::Here you can set the type of address check to be used. If 'Person' is selected and the customer is not from Germany, 'Basic' will be used.","Here you can set the type of address check to be used. If 'Person' is selected and the customer is not from Germany, 'Basic' will be used."
"Customweb_OPPCw::Here you can set the version of the Frontend API to be used when using the authorization method IFrame. Version 2 offers a way for you to define templates with custom CSS and JavaScript, while still being PCI DSS SAQ A compliant. Make sure ""Frontend-URL PCI DSS SAQ A compliant"" is listed in the Open Payment Platform backend under Configuration > Payment Portals > (Portal) > API-Parameter, that FinanceGate Frontend is active under selected channels under Configuration > Payment Portals > Portal > General. After that, make sure that your template is set up correctly.","Here you can set the version of the Frontend API to be used when using the authorization method IFrame. Version 2 offers a way for you to define templates with custom CSS and JavaScript, while still being PCI DSS SAQ A compliant. Make sure ""Frontend-URL PCI DSS SAQ A compliant"" is listed in the Open Payment Platform backend under Configuration > Payment Portals > (Portal) > API-Parameter, that FinanceGate Frontend is active under selected channels under Configuration > Payment Portals > Portal > General. After that, make sure that your template is set up correctly."
"Customweb_OPPCw::Here you can set the version of the Frontend API to be used when using the authorization method Payment Page. Version 2 offers a way for you to define templates with custom CSS and JavaScript, while still being PCI DSS SAQ A compliant. Make sure ""Frontend-URL PCI DSS SAQ A compliant"" is listed in the Open Payment Platform backend under Configuration > Payment Portals > (Portal) > API-Parameter, that FinanceGate Frontend is active under selected channels under Configuration > Payment Portals > Portal > General. After that, make sure that your template is set up correctly.","Here you can set the version of the Frontend API to be used when using the authorization method Payment Page. Version 2 offers a way for you to define templates with custom CSS and JavaScript, while still being PCI DSS SAQ A compliant. Make sure ""Frontend-URL PCI DSS SAQ A compliant"" is listed in the Open Payment Platform backend under Configuration > Payment Portals > (Portal) > API-Parameter, that FinanceGate Frontend is active under selected channels under Configuration > Payment Portals > Portal > General. After that, make sure that your template is set up correctly."
"Customweb_OPPCw::Here you can set the version of the Frontend API to be used when using the authorization method iFrame Authorization (Frontend). Version 2 offers a way for you to define templates with custom CSS and JavaScript, while still being PCI DSS SAQ A compliant. Make sure 'Frontend-URL PCI DSS SAQ A compliant' is listed in the Open Payment Platform backend under Configuration > Payment Portals > (Portal) > API-Parameter, that FinanceGate Frontend is active under selected channels under Configuration > Payment Portals > Portal > General. After that, make sure that your template is set up correctly.","Here you can set the version of the Frontend API to be used when using the authorization method iFrame Authorization (Frontend). Version 2 offers a way for you to define templates with custom CSS and JavaScript, while still being PCI DSS SAQ A compliant. Make sure 'Frontend-URL PCI DSS SAQ A compliant' is listed in the Open Payment Platform backend under Configuration > Payment Portals > (Portal) > API-Parameter, that FinanceGate Frontend is active under selected channels under Configuration > Payment Portals > Portal > General. After that, make sure that your template is set up correctly."
"Customweb_OPPCw::Here you can set which solvency ratings are denied. The selected values have higher priority than the ones selected in allow scoring and uncertain scoring.","Here you can set which solvency ratings are denied. The selected values have higher priority than the ones selected in allow scoring and uncertain scoring."
"Customweb_OPPCw::Here you can set which solvency ratings are let through while setting the transaction status to uncertain. The selected values have higher priority than the ones selected in allow scoring but lower priority than the values selected in deny scoring.","Here you can set which solvency ratings are let through while setting the transaction status to uncertain. The selected values have higher priority than the ones selected in allow scoring but lower priority than the values selected in deny scoring."
"Customweb_OPPCw::Here you can set which solvency ratings are let through. The selected values have lower priority than the ones selected in uncertain scoring and deny scoring.","Here you can set which solvency ratings are let through. The selected values have lower priority than the ones selected in uncertain scoring and deny scoring."
"Customweb_OPPCw::Here you may specify which CSS classes should be applied to the input field, if 'Use Style' is set to 'Classes'. These styles must be available to the page displaying the form.","Here you may specify which CSS classes should be applied to the input field, if 'Use Style' is set to 'Classes'. These styles must be available to the page displaying the form."
"Customweb_OPPCw::Hide","Nascondi"
"Customweb_OPPCw::Hide Conditions","Hide Conditions"
"Customweb_OPPCw::Hosted iFrame Configuration","Hosted iFrame Configuration"
"Customweb_OPPCw::Hungary","Hungary"
"Customweb_OPPCw::I agree that that Klarna can use my adress data for identity and scoring checks. I am aware that I can revoke my !consent at any time in the future. The general terms and conditions of the merchant apply.","Sono d'accordo che Klarna possa utilizzare i miei dati riguardando l' indirizzo per i controlli di identità e di punteggio. Sono consapevole che posso revocare il mio !consent in qualsiasi momento in futuro. Si applicano i termini e le condizioni generali del rivenditore."
"Customweb_OPPCw::I agree to the presented terms.","I agree to the presented terms."
"Customweb_OPPCw::I want to submit the mandate.","I want to submit the mandate."
"Customweb_OPPCw::IBAN","IBAN"
"Customweb_OPPCw::IBAN number","Numero IBAN"
"Customweb_OPPCw::IBAN: !iban","IBAN: !iban"
"Customweb_OPPCw::IFrame Height","IFrame Height"
"Customweb_OPPCw::IP could not be retrieved.","IP could not be retrieved."
"Customweb_OPPCw::Identification number: !number","Numero di identificazione: !number"
"Customweb_OPPCw::If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore.","Se é rimasto un solo pezzo in magazzino e il pagamento del cliente che vuole comprare questo prodotto fallisce, il prodotto sarà riservato fino a quando l'ordine é cancellato (vedere l'opzione Timeout). Attivare questa opzione se si desidera che il prodotto NON sia riservato e che l'ordine con un pagamento non riuscito sia immediatamente annullato."
"Customweb_OPPCw::If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled.","Se un prodotto è disponibile solo una volta e il pagamento dell'ordine cliente il prodotto non riesce o viene interrotta, non sarà disponibile fino a quando l'ordine viene annullato (guarda l'opzione di timeout di seguito). Attiva questa impostazione per annullare gli ordini in attesa del cliente quando torna alla pagina del carrello e di un prodotto non è più disponibile. Attenzione, però: se si attiva questa opzione, c'è una possibilità che i pagamenti vengano effettuati con l'ordine corrispondente che é già stato annullato."
"Customweb_OPPCw::If it is not applicable leave the field empty.","Se non é possibile lasciare il campo vuoto."
"Customweb_OPPCw::If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","Se lo stato é 'in sospeso' non é chiaro se la transazione verrà annullata correttamente."
"Customweb_OPPCw::If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","Se lo stato é 'In sospeso' non é chiaro se la transazione sarà registrata con successo."
"Customweb_OPPCw::If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","Se lo stato é 'In sospeso' non é chiaro se la transazione sarà rimborsata con successo."
"Customweb_OPPCw::If the test mode is selected the test account is used. Otherwise the configured account is used.","If the test mode is selected the test account is used. Otherwise the configured account is used."
"Customweb_OPPCw::If the test mode is used, then the test parameter is used.","If the test mode is used, then the test parameter is used."
"Customweb_OPPCw::If this payment method should support recurring and moto transactions, you have to specify a second channel without 3d secure.","Se si desidera che questo metodo di pagamento supporti le transazioni ricorrenti e MoTo, é necessario inserire un secondo canale senza 3D Secure."
"Customweb_OPPCw::If this payment method should support recurring and moto transactions, you have to specify a second entity ID without 3d secure.","If this payment method should support recurring and moto transactions, you have to specify a second entity ID without 3d secure."
"Customweb_OPPCw::If you have a specific pagestyle for PayPal, you can specify it here.","If you have a specific pagestyle for PayPal, you can specify it here."
"Customweb_OPPCw::If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","Se hai problemi con il modulo non esitare a contattarci. Controlla anche <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> per ulteriori informazioni."
"Customweb_OPPCw::If you select this checkbox, the payment will be captured at the PSP and you can not add additional captures.","Se selezioni questa opzione, il pagamento sarà registrato al PSP e non puoi aggiungere ulteriori registrazioni."
"Customweb_OPPCw::If you use Klarna as processor, please specify your the merchant id (EID) of your Klarna account.","Se usi Klarna come processore, indica il tuo merchant id (EID) dell tuo account Klarna."
"Customweb_OPPCw::If you use Klarna as processor, this setting controls the display of the conditions element. If you fulfill the Klarna requirements of displaying all necessary information in another way, and Klarna has recognized this, you may deactivate this option.","If you use Klarna as processor, this setting controls the display of the conditions element. If you fulfill the Klarna requirements of displaying all necessary information in another way, and Klarna has recognized this, you may deactivate this option."
"Customweb_OPPCw::If you wish to use a custom style, you may either automatically detect your shop style (dynamic styling), or define the CSS above. You can either use in-line css with the 'Inline Style'-setting, or reference defined classes using the 'Classes'-setting.","If you wish to use a custom style, you may either automatically detect your shop style (dynamic styling), or define the CSS above. You can either use in-line css with the 'Inline Style'-setting, or reference defined classes using the 'Classes'-setting."
"Customweb_OPPCw::If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>.","Se si desidera utilizzare pagamenti ricorrenti, è necessario il modulo di Magento ""abbonamento CustomWeb "". Per ulteriori informazioni visitare <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>."
"Customweb_OPPCw::Iframe Height","Altezza dell'iFrame"
"Customweb_OPPCw::Image Brand Selection","Image Brand Selection"
"Customweb_OPPCw::In case ajax authorization is used, the brand of the credit card is detected by the card number and the card number is validated accordingly. This setting enables the restriction of the allowed brands.","In case ajax authorization is used, the brand of the credit card is detected by the card number and the card number is validated accordingly. This setting enables the restriction of the allowed brands."
"Customweb_OPPCw::In case the security hash option is enabled, the hash secret is required.","Se l'opzione security hash é abilitata, il hash secret é necessario."
"Customweb_OPPCw::In case the security hash option is enabled, the hash secret is required. This is only needed by the hidden authorization.","In case the security hash option is enabled, the hash secret is required. This is only needed by the hidden authorization."
"Customweb_OPPCw::In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited.","In alcuni casi possono volerci alcuni secondi prima che la transazione sia autorizzata con successo. Quando l'opzione é attivata, la notifica arriva dopo qualche secondo."
"Customweb_OPPCw::In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation.","In alcuni casi l'operazione richiede alcuni secondi prima di essere autorizzata. Quando questa opzione è abilitata l'utente è trattenuto fino a quando la transazione non é andato a buon fine. Se questo non è il caso in 30 secondi viene visualizzato un messaggio al cliente che spiega la situazione."
"Customweb_OPPCw::Inactive","Inattivo"
"Customweb_OPPCw::Incl. Tax","Incl. tasse"
"Customweb_OPPCw::Information","Informazione"
"Customweb_OPPCw::Inline Style","Inline Style"
"Customweb_OPPCw::Instructions","Instructions"
"Customweb_OPPCw::Integrator Test Mode","Integrator Test Mode"
"Customweb_OPPCw::Internal","Internal"
"Customweb_OPPCw::Invalid login or password.","Login o password non validi."
"Customweb_OPPCw::Invoice Appendix","Invoice Appendix"
"Customweb_OPPCw::Invoice Delivery Method","Invoice Delivery Method"
"Customweb_OPPCw::Invoice Items","Articoli fattura"
"Customweb_OPPCw::Invoice Settlement","Pagamento della fattura"
"Customweb_OPPCw::Invoice Totals","Totali della fattura"
"Customweb_OPPCw::Invoice settlement","Creazione della fattura"
"Customweb_OPPCw::Invoice was created successfully","La fattura é stato creata con successo."
"Customweb_OPPCw::Invoices","Fatture"
"Customweb_OPPCw::Issue Number","Numero Issue"
"Customweb_OPPCw::It is not possible to checkout in your country.","Non é possibile effettuare il checkout nel tuo paese."
"Customweb_OPPCw::Italy","Italia (IT)"
"Customweb_OPPCw::Item","Articolo"
"Customweb_OPPCw::Items","Articoli"
"Customweb_OPPCw::Items Refunded","Articoli rimborsati"
"Customweb_OPPCw::JCB","JCB"
"Customweb_OPPCw::Key / Hash did not match","Key / Hash did not match"
"Customweb_OPPCw::Klarna","Klarna"
"Customweb_OPPCw::Klarna (supports Hidden Authorization)","Klarna (supports Hidden Authorization)"
"Customweb_OPPCw::Klarna (supports Payment Page)","Klarna (supports Payment Page)"
"Customweb_OPPCw::Klarna: Conditions","Klarna: Conditions"
"Customweb_OPPCw::Klarna: Merchant ID","Klarna: Merchant ID"
"Customweb_OPPCw::Last name","Last name"
"Customweb_OPPCw::Legal note","Legal note"
"Customweb_OPPCw::Live HMAC Key","Live HMAC Key"
"Customweb_OPPCw::Live Identifier (PBX_IDENTIFIANT)","Live Identifier (PBX_IDENTIFIANT)"
"Customweb_OPPCw::Live Mode","Live Mode"
"Customweb_OPPCw::Live Password","Live Password"
"Customweb_OPPCw::Live Rang (PBX_RANG)","Live Rang (PBX_RANG)"
"Customweb_OPPCw::Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Customweb_OPPCw::Logging","Logging"
"Customweb_OPPCw::Login","Login"
"Customweb_OPPCw::Login & Register","Login & Registrati"
"Customweb_OPPCw::Login and password are required.","Login e password richiesti."
"Customweb_OPPCw::Maestro","Maestro"
"Customweb_OPPCw::Mail Order / Telephone Order (MoTo)","Mail Order / Telephone Order (MoTo)"
"Customweb_OPPCw::Mail order/telephone order authorization","Autorizzazione degli ordini via eMail/telefono"
"Customweb_OPPCw::Male","Maschio"
"Customweb_OPPCw::Manage Stores","Gestire negozi"
"Customweb_OPPCw::Manage Open Payment Platform Aliases","Gestisci gli alias Open Payment Platform"
"Customweb_OPPCw::Mandate","Mandate"
"Customweb_OPPCw::Mandate (@identification)","Mandate (@identification)"
"Customweb_OPPCw::Mandate text","Mandato del testo"
"Customweb_OPPCw::MasteCcard (Debit)","MasteCcard (Debit)"
"Customweb_OPPCw::MasterCard","MasterCard"
"Customweb_OPPCw::Maximum Order Total","Totale massimo dell'ordine"
"Customweb_OPPCw::Merchant ID","Merchant ID"
"Customweb_OPPCw::Merchant Name","Nome commerciante"
"Customweb_OPPCw::Message","Notifica"
"Customweb_OPPCw::Method Title","Titolo del metodo"
"Customweb_OPPCw::Minimum Order Total","Minimo per il totale dell'ordine"
"Customweb_OPPCw::Mit der ??bermittlung der f??r die Abwicklung des Rechnungskaufes und einer Identit??ts- und Bonit??tspr??fung erforderlichen Daten an payolution bin ich einverstanden. <a target='_top' href='!url'>Meine Einwilligung</a> kann ich jederzeit mit Wirkung f??r die Zukunft widerrufen.","Mit der ??bermittlung der f??r die Abwicklung des Rechnungskaufes und einer Identit??ts- und Bonit??tspr??fung erforderlichen Daten an payolution bin ich einverstanden. <a target='_top' href='!url'>Meine Einwilligung</a> kann ich jederzeit mit Wirkung f??r die Zukunft widerrufen."
"Customweb_OPPCw::Month","Mese"
"Customweb_OPPCw::My Open Payment Platform Aliases","I miei Alias Open Payment Platform"
"Customweb_OPPCw::Narrative Text 1st line","Narrative Text 1st line"
"Customweb_OPPCw::Narrative Text 2nd line","Narrative Text 2nd line"
"Customweb_OPPCw::Narrative Text 3rd line","Narrative Text 3rd line"
"Customweb_OPPCw::Netherlands","Paesi Bassi (NL)"
"Customweb_OPPCw::New Order","Nuovo ordine"
"Customweb_OPPCw::New Order Status","Nuovo stato dell'ordine"
"Customweb_OPPCw::New card","Nuova carta"
"Customweb_OPPCw::Next Update Execution Date","Data del prossimo aggiornamento"
"Customweb_OPPCw::No","No"
"Customweb_OPPCw::No BIC provided.","No BIC provided."
"Customweb_OPPCw::No IBAN provided.","No IBAN provided."
"Customweb_OPPCw::No Items","Nessun articolo"
"Customweb_OPPCw::No Name Provided","No Name Provided"
"Customweb_OPPCw::No additional payment information available.","Nessuna informazione di pagamento supplementare."
"Customweb_OPPCw::No authorization method found for payment method !method.","Nessun metodo di autorizzazione trovato per il pagamento !method."
"Customweb_OPPCw::No button returned.","Nessun tasto fornito."
"Customweb_OPPCw::No channel id is set for the payment method '!paymentMethodName'.","Nessun Channel ID é impostato per il metodo di pagamento '!paymentMethodName'."
"Customweb_OPPCw::No item type set.","No item type set."
"Customweb_OPPCw::No payment methods have been configured for the generic method.","No payment methods have been configured for the generic method."
"Customweb_OPPCw::No redirect URL provided. Contact Open Payment Platform.","Nessun URL di reindirizzamento disponibile. Contatto Open Payment Platform."
"Customweb_OPPCw::No redirection URL provided. Contact Open Payment Platform.","No redirection URL provided. Contact Open Payment Platform."
"Customweb_OPPCw::No refund possible.","Nessun rimborso possibile"
"Customweb_OPPCw::No response has been received.","No response has been received."
"Customweb_OPPCw::No shipping method needed.","Nessun metodo di spedizione necessario."
"Customweb_OPPCw::No, use the dropdown.","No, use the dropdown."
"Customweb_OPPCw::None","Nessuno"
"Customweb_OPPCw::None (processing by merchant)","Nessuno (elaborazione da parte del commerciante)"
"Customweb_OPPCw::None (processing by merchant, supports Server Authorization)","None (processing by merchant, supports Server Authorization)"
"Customweb_OPPCw::Notification types","Notification types"
"Customweb_OPPCw::Only an authorized transaction can be marked as finally declined.","Solo una transazione autorizzata può essere contrassegnata come Rifiutata."
"Customweb_OPPCw::Only an uncertain transaction can be marked as finally declined.","Solo una transazione incerta può essere contrassegnata  Rifiutata."
"Customweb_OPPCw::Only authorized transaction can be cancelled.","Solo le transazioni autorizzate possono essere cancellate."
"Customweb_OPPCw::Only authorized transaction can be captured.","Solo le transazioni autorizzate possono essere registrate."
"Customweb_OPPCw::Only authorized transaction can be refunded.","Solo transazioni autorizzate possono essere rimborsate."
"Customweb_OPPCw::Only captured transaction can be refunded.","Solo le transazioni registrate possono essere rimborsate."
"Customweb_OPPCw::Only on captured transaction the flag customer refusing to pay can be set.","E ' possibile impostare un flag per i clienti che non hanno pagato solo sulle transazioni registrate."
"Customweb_OPPCw::Operation Mode","Modalità di funzionamento"
"Customweb_OPPCw::Order #","Numero d'ordine"
"Customweb_OPPCw::Order Grand Total","Totale complessivo dell'ordine"
"Customweb_OPPCw::Order Information","Informazioni sull'ordine"
"Customweb_OPPCw::Order Prefix","Order Prefix"
"Customweb_OPPCw::Order Review","Controllo ordine"
"Customweb_OPPCw::Order Summary","Riassunto dell'ordine"
"Customweb_OPPCw::Order Total","Totale dell'ordine"
"Customweb_OPPCw::Order cancelled, because the customer was too long in the payment process of Open Payment Platform.","L'ordine é stato annullato perché il cliente é rimasto troppo a lungo nel processo di pagamento di Open Payment Platform."
"Customweb_OPPCw::Order prefix","Prefisso dell'ordine"
"Customweb_OPPCw::Order was placed using %s","L'ordine é stato effettuato usando %s"
"Customweb_OPPCw::Orders","Ordini"
"Customweb_OPPCw::Orders with with payments that are longer pending than the specified timeout in minutes are cancelled automatically.","Gli ordini il cui pagamento é in sospeso da più tempo del timeout definito in minuti saranno annullati automaticamente. Per utilizzare questa funzione devi impostare Magento cron."
"Customweb_OPPCw::Page Style Name","Page Style Name"
"Customweb_OPPCw::Paid Amount","Importo pagato"
"Customweb_OPPCw::Partial captures of Klarna payments cannot be created in the shop. This can only be done in the PSP backend.","Partial captures of Klarna payments cannot be created in the shop. This can only be done in the PSP backend."
"Customweb_OPPCw::Partial refund not possible. You may retry with the total transaction amount.","Rimborso parziale non possibile. Riprovare con l'importo totale della transazione."
"Customweb_OPPCw::Partial refunds of Klarna payments cannot be created in the shop. This can only be done in the PSP backend.","Partial refunds of Klarna payments cannot be created in the shop. This can only be done in the PSP backend."
"Customweb_OPPCw::Password","Password"
"Customweb_OPPCw::Password and password confirmation are not equal.","La password e la conferma della password non corrispondono."
"Customweb_OPPCw::Pay with ____paymentMethodName____","Paga con ____paymentMethodName____"
"Customweb_OPPCw::Payment","Pagamento"
"Customweb_OPPCw::Payment ID","Payment ID"
"Customweb_OPPCw::Payment Id","ID pagamento"
"Customweb_OPPCw::Payment Information","Informazioni sul pagamento"
"Customweb_OPPCw::Payment Method","Metodo di pagamento"
"Customweb_OPPCw::Payment Methods","Metodi di pagamento"
"Customweb_OPPCw::Payment Surcharge","Payment Surcharge"
"Customweb_OPPCw::Payment captured successfully.","Pagamento salvato con successo."
"Customweb_OPPCw::Payment could not be authorized. Cancelling order. Reason :","Il pagamento non potesse essere autorizzato. L'ordine sarà annullato. Motivo:"
"Customweb_OPPCw::Payment details can be entered after placing the order","I dettagli di pagamento possono essere inseriti dopo avere effettuato l'ordinato."
"Customweb_OPPCw::Payment from Applicable Countries","Payment from Applicable Countries"
"Customweb_OPPCw::Payment from Specific Countries","Payment from Specific Countries"
"Customweb_OPPCw::Payment from applicable countries","Pagamento da paesi applicabili"
"Customweb_OPPCw::Payment from specific countries","Pagamento da paesi specifici"
"Customweb_OPPCw::Payment is pending at OPPCw","Pagamento in sospeso in OPPCw."
"Customweb_OPPCw::Payment method description","Descrizione di metodo di pagamento"
"Customweb_OPPCw::Payment with %s","Pagamento con %s"
"Customweb_OPPCw::Payment with Open Payment Platform","Pagamenti con ____ paymentServiceProviderName____"
"Customweb_OPPCw::Payments may be updated periodically (interval in minutes). To use this feature you have to setup magento cron","I pagamenti possono essere aggiornati automaticamente (intervallo in minuti) via API (se attivato). Per utilizzare questa funzione, il Magento Cron deve essere abilitato."
"Customweb_OPPCw::Payolution","Payolution"
"Customweb_OPPCw::Payolution (Server Authorization)","Payolution (Server Authorization)"
"Customweb_OPPCw::Payolution (supports Server Authorization)","Payolution (supports Server Authorization)"
"Customweb_OPPCw::Payolution - Due Date","Payolution - Due Date"
"Customweb_OPPCw::Payolution - Reference","Payolution - Reference"
"Customweb_OPPCw::Payolution - Transaction ID","Payolution - Transaction ID"
"Customweb_OPPCw::Payolution - Trusted Shop","Payolution - Trusted Shop"
"Customweb_OPPCw::Payolution - Workorder ID","Payolution - Workorder ID"
"Customweb_OPPCw::Payolution terms","Payolution terms"
"Customweb_OPPCw::Pending","In sospeso"
"Customweb_OPPCw::Pending OPPCw","OPPCw in attesa"
"Customweb_OPPCw::Person (DE only)","Person (DE only)"
"Customweb_OPPCw::Phone","Phone"
"Customweb_OPPCw::Phone Number","Numero di telefono"
"Customweb_OPPCw::Place Order","Fare un ordine"
"Customweb_OPPCw::Plain","Plain"
"Customweb_OPPCw::Please accept the terms and conditions.","Accetta i termini e le condizioni"
"Customweb_OPPCw::Please agree to all the terms and conditions before placing the order.","Accetta i termine e le condizioni prima di fare un ordine."
"Customweb_OPPCw::Please check the entered CVC number.","Si prega di controllare il numero CVC inserito."
"Customweb_OPPCw::Please check the entered credit card number.","Si prega di controllare il numero di carta di credito inserito."
"Customweb_OPPCw::Please enter here the Bank Identifier Code (BIC).","Inserisci qui il codice di identificazione bancario (BIC)."
"Customweb_OPPCw::Please enter here the CVC code from your card. You find the code on the back of the card.","Inserisci qui il codice CVC che si trova sul retro della tua carta."
"Customweb_OPPCw::Please enter here the International Bank Account Number (IBAN).","Si prega di inserire l'IBAN (numero di conto bancario internazionale)."
"Customweb_OPPCw::Please enter here the account holder name on the card.","Si prega di inserire qui il nome del titolare del conto sulla carta."
"Customweb_OPPCw::Please enter here the account holder name.","Si prega di inserire qui il nome del titolare del conto."
"Customweb_OPPCw::Please enter here the account number of your bank account.","Si prega di inserire l'IBAN (numero di conto bancario internazionale)."
"Customweb_OPPCw::Please enter here the bank code of your bank.","Si prega di inserire il codice banca ."
"Customweb_OPPCw::Please enter here the card holder name on the card.","Inserire qui il nome del titolare della carta."
"Customweb_OPPCw::Please enter here the commercial number of your company.","Si prega di inserire il numero di iscrizione nel registro delle imprese."
"Customweb_OPPCw::Please enter here the name of the account owner.","Si prega di inserire il nome del titolare del conto."
"Customweb_OPPCw::Please enter here the number on your card.","Si prega di inserire il numero di carta di carta di credito."
"Customweb_OPPCw::Please enter here the sales tax number of your company.","Inserisci qui la partita IVA della tua azienda."
"Customweb_OPPCw::Please enter here your gender.","Please enter here your gender."
"Customweb_OPPCw::Please enter here your phone number.","Inserisci qui il tuo numero di telefono."
"Customweb_OPPCw::Please enter here your social security number.","Si prega di inserire il numero di sicurezza sociale."
"Customweb_OPPCw::Please enter the location of your bank.","Si prega di inserire la posizione della banca."
"Customweb_OPPCw::Please enter the name of your bank.","Si prega di inserire il nome della banca."
"Customweb_OPPCw::Please enter your IBAN number.","Inserisci il tuo numero IBAN."
"Customweb_OPPCw::Please enter your gender.","Devi inserire il tuo sesso."
"Customweb_OPPCw::Please enter your issue number, if there is no CVC code on your card.","Inserisci l'issue number, se non c'é alcun codice CVC sulla carta."
"Customweb_OPPCw::Please enter your phone number.","Devi inserire il tuo numero di telefono."
"Customweb_OPPCw::Please fill out the form completely","Please fill out the form completely"
"Customweb_OPPCw::Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Svuota o disabilita la memoria cache e riprova. Se non dovesse aiutare, cambia il metodo di autorizzazione in PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>."
"Customweb_OPPCw::Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.', 'http://www.sellxed.com/en/support","Si prega di lampeggiare o disabilitare la memoria cache e riprovare. Se questo non ha aiutato, cambiare il metodo di autorizzazione per PaymentPage e <a href=""%s"" target=""_blank"">contattare sellXed</a>.', 'http://www.sellxed.com/en/support"
